PotentialFraud,Total_Claims,Total_Cost,Total_Patients,AvgCost_PerClaim,Cost_PerPatient,Claims_PerPatient,Inp_Claims,Inp_TotalCost,Inp_AvgCost,Inp_MaxCost,Inp_AvgLengthOfStay,Out_Claims,Out_TotalCost,Out_AvgCost,Inp_Out_ClaimRatio,Inp_Out_CostRatio,Inp_AvgAge,Out_AvgAge,Inp_AvgChronicConditions,Out_AvgChronicConditions,Inp_NumUniquePatients,Out_NumUniquePatients,Has_HighInpatientCost,Has_ExtremeTotalCost
0,25.0,104640.0,24.0,4185.6,4360.0,1.0416666666666667,5.0,97000.0,19400.0,42000.0,5.0,20.0,7640.0,382.0,0.23809523809523808,12.69467347205863,94.46461327857631,94.80273785078714,16.0,16.55,5.0,19.0,0,0
1,132.0,605670.0,119.0,4588.409090909091,5089.663865546218,1.1092436974789917,62.0,573000.0,9241.935483870968,57000.0,5.161290322580645,70.0,32670.0,466.7142857142857,0.8732394366197183,17.538489792170427,86.79013490538959,85.26238388579252,17.080645161290324,17.785714285714285,53.0,66.0,1,0
0,149.0,52170.0,138.0,350.13422818791946,378.04347826086956,1.0797101449275361,0.0,0.0,0.0,0.0,0.0,149.0,52170.0,350.13422818791946,0.0,0.0,0.0,88.16191906802824,0.0,17.65771812080537,0.0,138.0,0,0
1,1165.0,280910.0,495.0,241.1244635193133,567.4949494949495,2.3535353535353534,0.0,0.0,0.0,0.0,0.0,1165.0,280910.0,241.1244635193133,0.0,0.0,0.0,86.4421206005646,0.0,17.664377682403433,0.0,495.0,0,0
0,72.0,33710.0,59.0,468.19444444444446,571.3559322033898,1.2203389830508475,3.0,19000.0,6333.333333333333,10000.0,5.333333333333333,69.0,14710.0,213.18840579710144,0.04285714285714286,1.2915505404119367,94.73146246862878,84.80286482357725,16.333333333333332,17.89855072463768,3.0,56.0,0,0
0,43.0,35630.0,36.0,828.6046511627907,989.7222222222222,1.1944444444444444,2.0,25000.0,12500.0,21000.0,4.0,41.0,10630.0,259.2682926829268,0.047619047619047616,2.351613206659769,67.52361396303901,92.71083955192734,18.5,18.073170731707318,2.0,34.0,0,0
0,58.0,16630.0,53.0,286.7241379310345,313.77358490566036,1.0943396226415094,1.0,5000.0,5000.0,5000.0,5.0,57.0,11630.0,204.03508771929825,0.017241379310344827,0.42988565041698906,113.73305954825462,89.87912628937163,15.0,17.45614035087719,1.0,52.0,0,0
0,48.0,16890.0,31.0,351.875,544.8387096774194,1.5483870967741935,0.0,0.0,0.0,0.0,0.0,48.0,16890.0,351.875,0.0,0.0,0.0,90.45037645448322,0.0,17.375,0.0,31.0,0,0
0,46.0,14880.0,44.0,323.4782608695652,338.1818181818182,1.0454545454545454,0.0,0.0,0.0,0.0,0.0,46.0,14880.0,323.4782608695652,0.0,0.0,0.0,90.37449037288337,0.0,17.58695652173913,0.0,44.0,0,0
0,30.0,10480.0,25.0,349.3333333333333,419.2,1.2,0.0,0.0,0.0,0.0,0.0,30.0,10480.0,349.3333333333333,0.0,0.0,0.0,87.10371891398586,0.0,17.666666666666668,0.0,25.0,0,0
0,8.0,700.0,7.0,87.5,100.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,8.0,700.0,87.5,0.0,0.0,0.0,88.02361396303901,0.0,15.625,0.0,7.0,0,0
0,6.0,170.0,6.0,28.333333333333332,28.333333333333332,1.0,0.0,0.0,0.0,0.0,0.0,6.0,170.0,28.333333333333332,0.0,0.0,0.0,86.73146246862878,0.0,16.5,0.0,6.0,0,0
0,515.0,142720.0,420.0,277.126213592233,339.8095238095238,1.2261904761904763,0.0,0.0,0.0,0.0,0.0,515.0,142720.0,277.126213592233,0.0,0.0,0.0,88.58590006844628,0.0,17.63495145631068,0.0,420.0,0,0
1,257.0,348830.0,210.0,1357.3151750972763,1661.095238095238,1.223809523809524,29.0,269000.0,9275.862068965518,57000.0,4.758620689655173,228.0,79830.0,350.13157894736844,0.12663755458515283,3.36961831869825,86.89513559442045,89.30312090973499,15.96551724137931,17.45175438596491,23.0,187.0,1,0
0,36.0,65610.0,36.0,1822.5,1822.5,1.0,9.0,54000.0,6000.0,13000.0,3.5555555555555554,27.0,11610.0,430.0,0.32142857142857145,4.6507622082507964,89.72302076203513,89.04707582325652,17.0,17.85185185185185,9.0,27.0,0,0
0,39.0,64050.0,38.0,1642.3076923076924,1685.5263157894738,1.0263157894736843,9.0,61000.0,6777.777777777777,13000.0,4.333333333333333,30.0,3050.0,101.66666666666667,0.2903225806451613,19.993444772205834,85.67617309301087,84.21291352954599,16.333333333333332,17.566666666666666,9.0,29.0,0,0
0,87.0,118350.0,78.0,1360.344827586207,1517.3076923076924,1.1153846153846154,13.0,86000.0,6615.384615384615,17000.0,7.0,74.0,32350.0,437.1621621621622,0.17333333333333334,2.6583413186609377,86.2768388353604,90.6581571304364,17.23076923076923,17.62162162162162,12.0,66.0,0,0
0,76.0,19840.0,56.0,261.05263157894734,354.2857142857143,1.3571428571428572,0.0,0.0,0.0,0.0,0.0,76.0,19840.0,261.05263157894734,0.0,0.0,0.0,86.01520227673907,0.0,17.92105263157895,0.0,56.0,0,0
0,53.0,29840.0,44.0,563.0188679245283,678.1818181818181,1.2045454545454546,0.0,0.0,0.0,0.0,0.0,53.0,29840.0,563.0188679245283,0.0,0.0,0.0,89.45932612710342,0.0,17.169811320754718,0.0,44.0,0,0
0,93.0,30660.0,79.0,329.6774193548387,388.1012658227848,1.1772151898734178,0.0,0.0,0.0,0.0,0.0,93.0,30660.0,329.6774193548387,0.0,0.0,0.0,87.3435045962038,0.0,18.086021505376344,0.0,79.0,0,0
0,171.0,739760.0,149.0,4326.081871345029,4964.832214765101,1.1476510067114094,82.0,705600.0,8604.878048780487,57000.0,4.621951219512195,89.0,34160.0,383.82022471910113,0.9111111111111111,20.655133046456484,88.70726699053438,87.90202185666274,16.695121951219512,17.685393258426966,71.0,78.0,1,0
0,185.0,359720.0,161.0,1944.4324324324325,2234.285714285714,1.1490683229813665,28.0,329000.0,11750.0,68000.0,5.535714285714286,157.0,30720.0,195.6687898089172,0.17721518987341772,10.709286807070082,88.78175418011146,89.12923266064165,16.714285714285715,17.101910828025478,26.0,135.0,1,0
0,23.0,5420.0,21.0,235.65217391304347,258.0952380952381,1.0952380952380953,0.0,0.0,0.0,0.0,0.0,23.0,5420.0,235.65217391304347,0.0,0.0,0.0,85.79281611760854,0.0,17.565217391304348,0.0,21.0,0,0
0,30.0,32560.0,25.0,1085.3333333333333,1302.4,1.2,1.0,29000.0,29000.0,29000.0,14.0,29.0,3560.0,122.75862068965517,0.03333333333333333,8.143779837124404,103.48254620123203,89.84398970945739,14.0,17.17241379310345,1.0,24.0,0,0
0,278.0,74880.0,131.0,269.3525179856115,571.6030534351145,2.122137404580153,0.0,0.0,0.0,0.0,0.0,278.0,74880.0,269.3525179856115,0.0,0.0,0.0,89.09979860054462,0.0,17.600719424460433,0.0,131.0,0,0
1,454.0,342230.0,223.0,753.8105726872246,1534.6636771300448,2.0358744394618835,23.0,214000.0,9304.347826086956,23000.0,4.565217391304348,431.0,128230.0,297.51740139211137,0.05324074074074074,1.6688632234015175,87.39767282683093,88.38232720493066,16.0,17.415313225058004,21.0,202.0,0,0
0,141.0,265490.0,109.0,1882.9078014184397,2435.6880733944954,1.2935779816513762,30.0,229600.0,7653.333333333333,17000.0,4.033333333333333,111.0,35890.0,323.3333333333333,0.26785714285714285,6.397146917054415,87.67337440109513,88.06859426161273,17.033333333333335,17.18918918918919,26.0,83.0,0,0
0,86.0,74470.0,70.0,865.9302325581396,1063.857142857143,1.2285714285714286,9.0,63000.0,7000.0,21000.0,10.555555555555555,77.0,11470.0,148.96103896103895,0.11538461538461539,5.492110539621654,92.27621872385733,87.07780651928495,16.22222222222222,17.792207792207794,8.0,62.0,0,0
0,34.0,7410.0,31.0,217.94117647058823,239.03225806451613,1.096774193548387,0.0,0.0,0.0,0.0,0.0,34.0,7410.0,217.94117647058823,0.0,0.0,0.0,86.81233643354672,0.0,17.91176470588235,0.0,31.0,0,0
